Rank,Similarity,Sentiment,Comment
1,0.5605,Netral,"我的詩有什麼價值
[印尼] Wiji Thukul (1963-1998)，羅浩原 譯

我的詩有什麼價值
倘若我姐妹無法上學
因為她還沒繳學費單*
我的詩有什麼價值m
倘若我爸的三輪車突然壞了
倘若米必須用錢買
倘若我們必須吃飯
倘若沒有東西吃怎麼辦？
我的詩有什麼價值
如果爸爸和媽媽吵架
媽媽責怪爸爸"
2,0.4313,Netral,"ᅠ

Oemji!! Kakak-kakak cantikku, timaaci. Bismillah habis ini dibangunin 𝘳𝘶𝘮𝘢𝘩 𝘴𝘢𝘬𝘪𝘵.

ᅠ"
3,0.4153,Negatif,"@Charlestommy18 Dipersepsi w, rumah sakit tengtara tuh kek jaman Belanda semua jir, kuno, gak kridibel gitu sih"
4,0.4097,Netral,@562coded Masa urang kudu nyawit rumah sakit deui sih bel.......😔😢
5,0.4038,Netral,Maenya strong tepi ka pincang ka rumah sakit🤣
6,0.4018,Positif,"Peduli kesehatan masyarakat 💚

Babinsa Koramil 1803-01/Fakfak hadir mendampingi kegiatan Posyandu IPL di Fakfak Utara. Layanan kesehatan terpadu untuk semua usia, dari balita sampai lansia.

#Babinsa #TNIAD #Posyandu #Fakfak #PapuaBarat #Kesehatan https://t.co/yqUo1galdd"
7,0.3998,Netral,Ini baju rumah sakit gasiii??? Hskkwkwk
8,0.3985,Netral,"@bandungfootball Sarua mang, rek ngagorowok ngan keburu inget keur di rumah sakit nungguan pamajikan 😭😭😭 https://t.co/tnDZ7Oq4J9"
9,0.397,Netral,"Ibrahim Tower RS Roemani baru diresmikan oleh Ketum PP Muhammadiyah Prof @HaedarNs  20/06/2026.
Tahukah Anda jika lahan yang kini berdiri megah rumah sakit ini adalah wakaf tokoh NU asal Demak, yaitu dr. H. Roemani. https://t.co/GUPx1LoSxz"
10,0.396,Netral,"Kasrem 032/Wbr Kolonel Inf Irvan Yusri, S.I.P., hadir dalam kegiatan Operasi Katarak Bagi Masyarakat dalam rangka Karya Bakti TNI Skala Besar TA 2026 di Rumah Sakit Dr. Reksodiwiryo Padang, Jumat, (22/5/2026). https://t.co/6nuBcfuPx9"
11,0.3954,Negatif,Ga di bantai aja udah sukur ini rumah sakit FC wkwkwkwk
12,0.3916,Netral,"Aksi humanis ditunjukkan personel Satpolairud Polres Lombok Timur saat membantu seorang warga lanjut usia (lansia) di Dermaga Telong-Elong, Senin (12/5). Lansia tersebut diketahui baru pulang menjalani pengobatan di rumah sakit dan hendak kembali ke rumahnya menggunakan perahu. https://t.co/MuuWLbVa0h"
13,0.3883,Netral,"In depok we have this rs harapan bekas belanda, bekas rumah sakit juga dan terbengkalai https://t.co/VibEWV6hFG"
14,0.3846,Netral,"Enak anggota baru?

Yg tua nebeng rumah sakit gitu?

Yang ngetem hahahaha"
15,0.3812,Netral,"Di rumah sakit ,bonus dedek 
https://
https://t.co/ixJZfwuW7r
https://t.co/z0MMvzZSBd https://t.co/KBeGXsv5qP"
16,0.3784,Netral,"NIK adek, bokap, sama nyokap juga halaf *gua si PIC administrasi rumah sakit, dsb😭"
17,0.3765,Netral,"Innalillahi wa inna ilaihi raji’un

Telah berpulang ke Rahmatullah ibu kami tercinta:

Nama: Rohana Binti Sajum
Usia:  76 Tahun

Pada hari ini, Jum'at (6/5/2026) pukul 01.15 WIB di Rumah Sakit Umum Mitra Guray Petumbukan.

Alamat duka: Desa Tanjung Siporkis, Kecamatan Galang, https://t.co/DtXPBmpZRE"
18,0.3754,Netral,@Yelz_Engel Sekolah gw bekas rumah sakit
19,0.3739,Netral,Kuliah di temenin zoro di RUMAH SAKIT aww aww https://t.co/7pigt8i8pG
20,0.373,Netral,"Di rumah sakit juga plis... Udah mah nunggunya lama, buibu sebelah main tiktok kenceng bgt 😔"
21,0.3678,Netral,Kyk nama bangsal rumah sakit jir🤣
22,0.3677,Netral,"dan funfact aku pertama kali baca abimaikal dalam keadaan terbaring di ranjang rumah sakit wkwkwkwk

widayat (wdyt) wur @kageyamouw 

https://t.co/lk8E8kve9a"
23,0.3667,Netral,"Okeeee let’s go kita kilas balik kenapa Ryul bisa dipanggil ‘Wegovy’ 

Awalnya karena di It’s LNGSHOT4SHO Ep. 2 ini, lagi ngomongin Daepyonim yang abis work out di tempat mereka mau work out juga, tapi berakhir DPN masuk rumah sakit

🌰 Katanya beliau masuk RS gara-gara 위고비 https://t.co/4OtUNeA81Y"
24,0.3642,Negatif,@BijaksanaWeb Kebetulan aja liat rumah sakit tua..duh auranya dah gak enak itu.
25,0.362,Netral,"@TamagoPost ㅤ 
Vivianne, 1984.
Dokter bedah dan direktur rumah sakit.
ㅤ"
26,0.3619,Netral,@mcflurryoneepls Yg di cafe apa rumah sakit kak?
27,0.3582,Netral,@RacunCintaaMu Rumah sakit jaman dulu
28,0.3578,Netral,"mam di geprek cumlaude untuk mengingat masa-masa yg kelam itu. salah satu obat depresi sebelum mengenal sikoloh dan ahli jiwa lainnya. ironis, tapi ayam ekonomis itu digeprek &amp; kawin dengan 3 biji cabai emprit dg jarak yg tak lebih dr 850 meter dari rumah sakit djiwa 😐"
29,0.3546,Netral,Punteun caket rumah sakit mah wededed na rada dikalemkeun rada di tahan egona
30,0.3535,Netral,mual-mual abis main roblox map rumah sakit
31,0.3534,Netral,"JAHAT KALIAN KAK, kakak cantik masuk rumah sakit ga ada di list 2026 gue ya jir"
32,0.3534,Netral,@unecessaryevill Malah kayak nama bangsal rumah sakit.
33,0.3518,Netral,"@kharismaaa21 akwowkowkaw, mana kaya nama ruangan di rumah sakit"
34,0.3516,Netral,@Andria75777 Makanya salah satu jurusan Manajemen paling tua adalah Manajemen Rumah Sakit.
35,0.3509,Netral,"Di malam yang gelap di Mumbai, takdir memainkan adegan yang nyaris mustahil.

Pada 1 Mei 2026, sekitar pukul 23:45, Rohit Nagnath Pawar, seorang pria berusia 27 tahun yang bekerja di Bhabha Atomic Research Centre, baru saja keluar dari sebuah warung ayam goreng. Tiba-tiba, tiga https://t.co/FdnHbv7mJ1"
36,0.3505,Netral,"Si slonong boy polontong ngarobah  ngaran rumah sakit di Bale Endah, ngarobah ngaran gedong di Cirebon. Kurang polontong naon geura si jelema mahiwal teh 😤. 
( Punten, hoream ngetik ku basa Sunda lemes 🙏)"
