Rank,Similarity,Sentiment,Comment
1,0.5181,Netral,"@rrafeyz @saphelune_ mjb itu aplikasi bpjs online. buat daftar biar gak perlu antri. bisa daftar ke puskesmas sampe ke faskes tingkat lanjut (rujukan) bisa daftar disitu. nanti isinya buat mengecek status kepesertaan, antrean online, konsultasi dokter, ja"
2,0.5172,Netral,Bridging data pasien ke BPJS menjadi lebih cepat. @upmedik mempercepat validasi klaim BPJS rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
3,0.4432,Positif,Semua klaim BPJS diproses otomatis lebih cepat. @upmedik mempercepat alur klaim rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
4,0.4321,Netral,Rumah sakit Anda bisa bridging BPJS otomatis dengan @upmedik. Semua data pasien langsung terhubung tanpa input ulang. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
5,0.427,Netral,"Ada satu hal yang selalu jadi pegangan saya: kalau bisa membantu orang, kenapa tidak? Itulah yang saya lakukan tadi sore—membantu seorang warga yang ingin menambahkan anaknya ke dalam daftar peserta BPJS Kesehatan melalui aplikasi JKN Mobile. Status BPJS anak tersebut sudah"
6,0.4223,Netral,"Sebagai wujud komitmen terhadap keterbukaan informasi publik, RSJD Dr. RM. Soedjarwadi menghadirkan informasi profil rumah sakit yang memuat alamat, kontak dan media sosial resmi, ruang lingkup kegiatan, serta fungsi dan tugas rumah sakit. https://t.co/I7r8Mp2UaY"
7,0.4216,Netral,"@Abitampan123 Salam. Pelayanan dan tindakan kesehatan tersebut dapat dijamin BPJS Kesehatan sesuai indikasi medis. Silakan pemeriksaan ke faskes tingkat 1 terdaftar, jika FKTP tidak dapat menangani, akan diberikan rujukan ke rumah sakit sesuai indikasi me"
8,0.419,Netral,@PBanondari Sama kayak org kayak yg menggunakan bpjs untuk layanan kesehatan.
9,0.4137,Netral,"Jhonlin Group bersama sejumlah unit usaha di bawah holding perusahaan turut mendukung kegiatan khitan massal gratis yang digelar RS Marina Permata pada 10 Mei 2026. Kegiatan ini merupakan bagian dari peringatan hari jadi ke-10 rumah sakit tersebut.

Khitan massal gratis ini https://t.co/A8G8uHPGgl"
10,0.4078,Netral,"@sagiestofemall Bisa, minta rujukan dari rumah sakit asal ke rumah sakit baru. Atau kalau pakai BPJS, bisa pindah faskes 1 lewat aplikasi JL (cukup mudah, tinggal klik klik)"
