Rank,Similarity,Sentiment,Comment
1,0.5133,Netral,Kyk nama bangsal rumah sakit jir🤣
2,0.5085,Netral,@562coded Masa urang kudu nyawit rumah sakit deui sih bel.......😔😢
3,0.5035,Netral,"In depok we have this rs harapan bekas belanda, bekas rumah sakit juga dan terbengkalai https://t.co/VibEWV6hFG"
4,0.4951,Positif,"Kolaborasi bersama Layanan Kesehatan merupakan sinergi antar fasilitas kesehatan milik Pemerintah Provinsi Kalimantan Tengah bersama RSUD dr. Doris Sylvanus, RSJ Kalawa Atei dan RSUD Hanau.  Semoga di Usia ke-69 tahun ini."
5,0.4895,Positif,"Peduli kesehatan masyarakat 💚

Babinsa Koramil 1803-01/Fakfak hadir mendampingi kegiatan Posyandu IPL di Fakfak Utara. Layanan kesehatan terpadu untuk semua usia, dari balita sampai lansia.

#Babinsa #TNIAD #Posyandu #Fakfak #PapuaBarat #Kesehatan https://t.co/yqUo1galdd"
6,0.4845,Netral,"Ibrahim Tower RS Roemani baru diresmikan oleh Ketum PP Muhammadiyah Prof @HaedarNs  20/06/2026.
Tahukah Anda jika lahan yang kini berdiri megah rumah sakit ini adalah wakaf tokoh NU asal Demak, yaitu dr. H. Roemani. https://t.co/GUPx1LoSxz"
7,0.4843,Netral,"我的詩有什麼價值
[印尼] Wiji Thukul (1963-1998)，羅浩原 譯

我的詩有什麼價值
倘若我姐妹無法上學
因為她還沒繳學費單*
我的詩有什麼價值
倘若我爸的三輪車突然壞了
倘若米必須用錢買
倘若我們必須吃飯
倘若沒有東西吃怎麼辦？
我的詩有什麼價值
如果爸爸和媽媽吵架
媽媽責怪爸爸"
8,0.4711,Negatif,"disini lansia dan penyakitnya yang udah parah2. Apa gak kasian jir

ni rumah sakit jg lagi renov gedung cakep bgt tp bagian manajemen paling sibuknya amburadul gini

hdeh mana rs nya bawa2 nama agama, malu2in bgt"
9,0.4615,Netral,@Yelz_Engel Sekolah gw bekas rumah sakit
10,0.4611,Netral,@sekairang @tanyarlfes Iya betul jaman itu lagi renov sana sini termasuk perluasan area rumah sakit. Dom lampung juga kah kak?
11,0.4599,Netral,Serasa wisata rumah sakit. RS Hermina Podomoro - RS Hermina Kemayoran - RS Islam. Seribet itu peserta bpjs 🥹
12,0.4565,Negatif,"@Charlestommy18 Dipersepsi w, rumah sakit tengtara tuh kek jaman Belanda semua jir, kuno, gak kridibel gitu sih"
13,0.4535,Positif,Pemkab Lingga Komitmen Benahi Layanan Kesehatan di Kecamatan https://t.co/778CJfPmI6 lewat @kabarterkini.co.id
14,0.4526,Netral,"ㅤㅤㅤㅤ

Rumah Sakit Santosa Bandung, 23 Mei 2026.

ㅤ"
15,0.4523,Netral,"Selamat datang dan selamat bergabung! 🙌✨

Kini layanan kesehatan di RS. Bhayangkara Surabaya semakin lengkap dengan hadirnya Dokter Spesialis Urologi, dr. Rifky Aulia, Sp.U 👨‍⚕️
#RSBhayangkaraSurabaya #DokterUrologi #KesehatanPria #KesehatanUrologi #LayananKesehatan #InfoDokter https://t.co/Dkv8DfHLuY"
16,0.4522,Netral,"@MrKillSeries @cosmiicblu @dew_jsu @vitheepanich KITUU ATUH TI KAMARI, NGAJIEUN URANG NAGREOG IEU DI RUMAH SAKIT DI CAREKAN"
17,0.4514,Netral,"[PPID RSUD dr. SOESELO]

Struktur Organisasi RSUD dr. Soeselo Kabupaten Tegal berdasarkan Peraturan Bupati Tegal Nomor 29 Tahun 2025 tentang Kedudukan, Susunan Organisasi, Tugas dan Fungsi, Serta Tata Kerja Rumah Sakit Umum Daerah.

Selengkapnya:
🔗https://t.co/xafmrVcj33 https://t.co/5hSrS0bEns"
