Rank,Similarity,Sentiment,Comment
1,0.4831,Netral,Serasa wisata rumah sakit. RS Hermina Podomoro - RS Hermina Kemayoran - RS Islam. Seribet itu peserta bpjs 🥹
2,0.4761,Netral,"Di rumah sakit ,bonus dedek 
https://
https://t.co/ixJZfwuW7r
https://t.co/z0MMvzZSBd https://t.co/KBeGXsv5qP"
3,0.4748,Netral,"我的詩有什麼價值
[印尼] Wiji Thukul (1963-1998)，羅浩原 譯

我的詩有什麼價值
倘若我姐妹無法上學
因為她還沒繳學費單*
我的詩有什麼價值
倘若我爸的三輪車突然壞了
倘若米必須用錢買
倘若我們必須吃飯
倘若沒有東西吃怎麼辦？
我的詩有什麼價值
如果爸爸和媽媽吵架
媽媽責怪爸爸"
4,0.4455,Netral,@dimasisme007 @idextratime @AbrahamPRomero Yamal lagi ngantri BPJS di rumah sakit
5,0.4115,Netral,Ini baju rumah sakit gasiii??? Hskkwkwk
6,0.4036,Negatif,Ga di bantai aja udah sukur ini rumah sakit FC wkwkwkwk
7,0.3898,Positif,"@TLD_Survive bisa, Kutil kelamin masih bisa di cover bpjs, meski sudah ada wacana untuk beberapa penyakit termasuk kulit yg tidak akan di cover BPJS lagi ( untuk rumah sakit ) jadi disarankan di puskesmas, tapi saat ini masih bisa di cover untuk di rs mel"
8,0.3881,Netral,"NIK adek, bokap, sama nyokap juga halaf *gua si PIC administrasi rumah sakit, dsb😭"
9,0.3873,Netral,Bridging data pasien ke BPJS menjadi lebih cepat. @upmedik mempercepat validasi klaim BPJS rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
10,0.3859,Netral,"@hanyodoni rsu, rumah sakit ushijima"
11,0.3856,Netral,met ultah om kesayangan warga rsj (rumah sakit juji) https://t.co/hQfjPbAIT9
12,0.3854,Netral,"@kharismaaa21 akwowkowkaw, mana kaya nama ruangan di rumah sakit"
13,0.3841,Netral,mual-mual abis main roblox map rumah sakit
14,0.3747,Netral,bikin rumah sakit bjirr
15,0.3721,Netral,@dimazmaulanaa the milo dicampur pure saturday karo ditambahi rumah sakit sithik
16,0.3715,Netral,"In depok we have this rs harapan bekas belanda, bekas rumah sakit juga dan terbengkalai https://t.co/VibEWV6hFG"
17,0.3698,Netral,@adskals Gas jbjb karena entar sore mau ke rumah sakit antar bokap rawat jalan
18,0.3682,Netral,Ini maksutnye suruh rsvp BANGSAL RUMAH SAKIT https://t.co/3GoIGiFLy5
19,0.3621,Negatif,yuyur bosan kontrol ke rumah sakit wkwkwkwwkkw
20,0.3618,Netral,@prasprasetja Kak numpang nanya klo runtutan konsul dan asesmen ADHD selengkap ini boleh tau ngga di rumah sakit mana? Aku dom jkt berencana periksa tp bingung mau kemana. Ga bpjs friendly jg gapapa!
21,0.3577,Netral,"Kasrem 032/Wbr Kolonel Inf Irvan Yusri, S.I.P., hadir dalam kegiatan Operasi Katarak Bagi Masyarakat dalam rangka Karya Bakti TNI Skala Besar TA 2026 di Rumah Sakit Dr. Reksodiwiryo Padang, Jumat, (22/5/2026). https://t.co/6nuBcfuPx9"
22,0.3576,Netral,"@rrafeyz @saphelune_ mjb itu aplikasi bpjs online. buat daftar biar gak perlu antri. bisa daftar ke puskesmas sampe ke faskes tingkat lanjut (rujukan) bisa daftar disitu. nanti isinya buat mengecek status kepesertaan, antrean online, konsultasi dokter, ja"
23,0.3548,Netral,"Jhonlin Group bersama sejumlah unit usaha di bawah holding perusahaan turut mendukung kegiatan khitan massal gratis yang digelar RS Marina Permata pada 10 Mei 2026. Kegiatan ini merupakan bagian dari peringatan hari jadi ke-10 rumah sakit tersebut.

Khitan massal gratis ini https://t.co/A8G8uHPGgl"
24,0.3547,Negatif,Rumah sakit - Sandiwara Semu
25,0.3543,Netral,#Sadewalk edisi ke rumah sakit https://t.co/RSiZRyyqsp
26,0.3512,Netral,@562coded Masa urang kudu nyawit rumah sakit deui sih bel.......😔😢
27,0.3503,Netral,@PBanondari Sama kayak org kayak yg menggunakan bpjs untuk layanan kesehatan.
28,0.35,Netral,"@TamagoPost ㅤ 
Vivianne, 1984.
Dokter bedah dan direktur rumah sakit.
ㅤ"
29,0.3498,Positif,Semua klaim BPJS diproses otomatis lebih cepat. @upmedik mempercepat alur klaim rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
30,0.3496,Netral,"@burhan_infinity @infomalang Coba ke J99, rumah sakit, karoseri, hotel2"
31,0.349,Netral,@inviernofalleg wkwk ngapain di rumah sakit princess?
32,0.3488,Netral,*BABINSA KARANGASEM MONITORING GIAT SURVEI SIMULASI RS UMS A.R FACHRUDIN OLEH LEMBAGA AKREDITASI RUMAH SAKIT INDONESIA (LARSI)* https://t.co/NPPTe45rLY
33,0.3484,Netral,"Serah Terima Jabatan Direksi Rumah Sakit Kemenkes

Selengkapnya: https://t.co/Jw5j1E4UxH https://t.co/C8038dchgp"
34,0.3477,Netral,"Yogyakarta - Jajaran personel Polsek Danurejan Polresta Yogyakarta mengikuti kegiatan apel pengamanan Bethesda Heritage Fun Run 2026 yang digelar di Rumah Sakit Bethesda, Jalan Jenderal Sudirman, Kota Yogyakarta. Minggu. ( 17/5/2026) Pagi. https://t.co/U7SLPEKn7p"
35,0.3466,Negatif,@RacunCintaaMu Emang seram ya rumah sakit
36,0.3443,Netral,Malah keinget scene saintshin di rumah sakit 🤧🤧☝️☝️ https://t.co/lgJfn5qJRN
37,0.3443,Negatif,@meedariku Mau kagak rumah sakit bekas isolasi covid? kwkwk
38,0.3427,Positif,"🏥 PROFIL RSUD dr. SOEHADI PRIJONEGORO SRAGEN

RSUD dr. Soehadi Prijonegoro Sragen hadir sebagai rumah sakit rujukan yang terus berkomitmen memberikan pelayanan kesehatan terbaik bagi masyarakat dengan pelayanan yang profesional, ramah, dan berkualitas. ✨

#RSUDSragen https://t.co/klay9F0Pot"
39,0.3416,Netral,@BPJSKesehatanRI pagi ini ada apa ya? Kata petugas rumah sakit sistem BPJS lagi error se-nasional
40,0.3413,Netral,@buburrkacangg Gwssss...yaaaa rumah sakit daerah mana?
41,0.3412,Netral,Kemenkeu Ungkap Kondisi Purbaya Usai Heboh Kabar Ambruk Masuk Rumah Sakit https://t.co/izWlfGhMfM
42,0.3409,Netral,"ㅤㅤㅤㅤ

Rumah Sakit Santosa Bandung, 23 Mei 2026.

ㅤ"
