Rank,Similarity,Sentiment,Comment
1,0.655,Netral,@PBanondari Sama kayak org kayak yg menggunakan bpjs untuk layanan kesehatan.
2,0.5905,Netral,"@rrafeyz @saphelune_ mjb itu aplikasi bpjs online. buat daftar biar gak perlu antri. bisa daftar ke puskesmas sampe ke faskes tingkat lanjut (rujukan) bisa daftar disitu. nanti isinya buat mengecek status kepesertaan, antrean online, konsultasi dokter, ja"
3,0.5853,Netral,Bridging data pasien ke BPJS menjadi lebih cepat. @upmedik mempercepat validasi klaim BPJS rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
4,0.5831,Netral,"menggunakan fitur aws seperti database, virtual protokol server (VPC), SSM parameter untuk keamanan lebih iam dan rds database (postgree) buat chat session dan ws connection .
Semua itu disetting buat mengkonfigurasikan Aplikasi Rumah sakit https://t.co/eLZPxlXeBu"
5,0.5768,Positif,"Program Rujuk Balik (PRB) BPJS Kesehatan kini hadir lebih mudah dan nyaman  💙
Melalui layanan PRB, peserta BPJS Kesehatan dengan penyakit kronis yang kondisinya sudah stabil dapat memperoleh pelayanan kesehatan dan obat secara rutin tanpa harus kembali ke rumah sakit . https://t.co/9TF70iGLqr"
6,0.53,Negatif,"@RaidenKevin17 Makin kesini BPJS makin buruk pelayanan dirumah sakitnya, banyak rumah sakit sekedarnya saja melayani pasien BPJS , karena makin sulit RS meng klaim biaya ke BPJS , BPJS makin rusak"
7,0.5207,Positif,Semua klaim BPJS diproses otomatis lebih cepat. @upmedik mempercepat alur klaim rumah sakit Anda. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
8,0.519,Netral,"Upaya menjaga keberlangsungan Program JKN diperkuat melalui peningkatan kolektabilitas iuran peserta. BPJS Kesehatan Cabang Sidoarjo menegaskan kepatuhan membayar iuran menjadi salah satu faktor penting agar layanan kesehatan tetap berjalan optimal.
https://t.co/ub1oLzT4OX"
9,0.5184,Netral,Rumah sakit Anda bisa bridging BPJS otomatis dengan @upmedik. Semua data pasien langsung terhubung tanpa input ulang. Email: hello@upmedik.com Website: https://t.co/2qBfzLzRm4 #upmedik #simrsindonesia #healthcaretech
10,0.5072,Netral,"✨Tabe' Sobwas Meohai✨

Tim BPKP melaksanakan Evaluasi atas Revitalisasi Integrasi Layanan Primer (ILP) Kabupaten Konawe Tahun 2026 dalam rangka mendukung penguatan tata kelola layanan kesehatan primer yang terintegrasi, efektif, dan berkesinambungan. https://t.co/2GqNe0n2Nj"
11,0.497,Netral,"@sagiestofemall Bisa, minta rujukan dari rumah sakit asal ke rumah sakit baru. Atau kalau pakai BPJS, bisa pindah faskes 1 lewat aplikasi JL (cukup mudah, tinggal klik klik)"
12,0.4961,Positif,"Komitmen menuju pelayanan kesehatan yang lebih berkualitas 💪🏥

RSUPJ melaksanakan rapat persiapan re-akreditasi rumah sakit demi pelayanan PRIMA dan keselamatan pasien.

-HumasRSUPJ- https://t.co/mA3Usha8Ju"
